"activity" "subject" "average"
"1" "LAYING" 1 -0.521033388800365
"2" "LAYING" 2 -0.550182863953901
"3" "LAYING" 3 -0.554844445297353
"4" "LAYING" 4 -0.556225460503712
"5" "LAYING" 5 -0.551680909926322
"6" "LAYING" 6 -0.538565829095587
"7" "LAYING" 7 -0.570168341813235
"8" "LAYING" 8 -0.552484248654061
"9" "LAYING" 9 -0.576140579950362
"10" "LAYING" 10 -0.544768735912951
"11" "LAYING" 11 -0.552569731626979
"12" "LAYING" 12 -0.55555830797007
"13" "LAYING" 13 -0.559679898689428
"14" "LAYING" 14 -0.566539566359065
"15" "LAYING" 15 -0.563026170147747
"16" "LAYING" 16 -0.575637769264657
"17" "LAYING" 17 -0.557252448721013
"18" "LAYING" 18 -0.55189398443311
"19" "LAYING" 19 -0.557169751879306
"20" "LAYING" 20 -0.558401909303655
"21" "LAYING" 21 -0.570061754826755
"22" "LAYING" 22 -0.552865153039318
"23" "LAYING" 23 -0.554097661562837
"24" "LAYING" 24 -0.554251426367397
"25" "LAYING" 25 -0.524717112914799
"26" "LAYING" 26 -0.550112545775807
"27" "LAYING" 27 -0.550491894942597
"28" "LAYING" 28 -0.571611706715866
"29" "LAYING" 29 -0.543617758596031
"30" "LAYING" 30 -0.565878284133239
"31" "SITTING" 1 -0.546547834190087
"32" "SITTING" 2 -0.56031344238308
"33" "SITTING" 3 -0.548882200456398
"34" "SITTING" 4 -0.562068453493841
"35" "SITTING" 5 -0.557727231606135
"36" "SITTING" 6 -0.552253932666457
"37" "SITTING" 7 -0.562681411082595
"38" "SITTING" 8 -0.562291009500816
"39" "SITTING" 9 -0.569861318694921
"40" "SITTING" 10 -0.554171495523231
"41" "SITTING" 11 -0.560163362015382
"42" "SITTING" 12 -0.568409496203126
"43" "SITTING" 13 -0.559210963996843
"44" "SITTING" 14 -0.580054672538001
"45" "SITTING" 15 -0.559975164678138
"46" "SITTING" 16 -0.555390572962235
"47" "SITTING" 17 -0.560390221539023
"48" "SITTING" 18 -0.559423852878406
"49" "SITTING" 19 -0.576489458188927
"50" "SITTING" 20 -0.571111336871542
"51" "SITTING" 21 -0.560043845535955
"52" "SITTING" 22 -0.568426797682488
"53" "SITTING" 23 -0.552769092949315
"54" "SITTING" 24 -0.57083115222427
"55" "SITTING" 25 -0.565443745219465
"56" "SITTING" 26 -0.564891478615595
"57" "SITTING" 27 -0.564458128520817
"58" "SITTING" 28 -0.573045498434115
"59" "SITTING" 29 -0.561197203492126
"60" "SITTING" 30 -0.570825177868484
"61" "STANDING" 1 -0.560888899640907
"62" "STANDING" 2 -0.560933299142959
"63" "STANDING" 3 -0.569402828108679
"64" "STANDING" 4 -0.558257364966512
"65" "STANDING" 5 -0.552636166318237
"66" "STANDING" 6 -0.563288791390388
"67" "STANDING" 7 -0.576213650937707
"68" "STANDING" 8 -0.563688790110945
"69" "STANDING" 9 -0.571659651579692
"70" "STANDING" 10 -0.562086082867722
"71" "STANDING" 11 -0.56323444843933
"72" "STANDING" 12 -0.561939569345044
"73" "STANDING" 13 -0.570718206796153
"74" "STANDING" 14 -0.581838713241965
"75" "STANDING" 15 -0.567406090194044
"76" "STANDING" 16 -0.569309593368161
"77" "STANDING" 17 -0.567379253467323
"78" "STANDING" 18 -0.581146224303779
"79" "STANDING" 19 -0.575621987957224
"80" "STANDING" 20 -0.568189557385581
"81" "STANDING" 21 -0.571509980868209
"82" "STANDING" 22 -0.583579226742791
"83" "STANDING" 23 -0.57283032665109
"84" "STANDING" 24 -0.572503694148874
"85" "STANDING" 25 -0.571357935253078
"86" "STANDING" 26 -0.570932291175317
"87" "STANDING" 27 -0.5678191616517
"88" "STANDING" 28 -0.573499385856676
"89" "STANDING" 29 -0.568651171953887
"90" "STANDING" 30 -0.579080426690232
"91" "WALKING" 1 -0.153722070528324
"92" "WALKING" 2 -0.246868489720627
"93" "WALKING" 3 -0.25509575080743
"94" "WALKING" 4 -0.314928743110884
"95" "WALKING" 5 -0.243979863905535
"96" "WALKING" 6 -0.183083132419648
"97" "WALKING" 7 -0.146668588278687
"98" "WALKING" 8 -0.139632636849052
"99" "WALKING" 9 -0.238112758193513
"100" "WALKING" 10 -0.171243280285558
"101" "WALKING" 11 -0.316639709932807
"102" "WALKING" 12 -0.204051847724816
"103" "WALKING" 13 -0.16216469469009
"104" "WALKING" 14 -0.245794411468521
"105" "WALKING" 15 -0.262647701708031
"106" "WALKING" 16 -0.316791848759343
"107" "WALKING" 17 -0.256506855961365
"108" "WALKING" 18 -0.318915435900928
"109" "WALKING" 19 -0.0592270921576182
"110" "WALKING" 20 -0.0822855188992002
"111" "WALKING" 21 -0.185664623932161
"112" "WALKING" 22 -0.117219211122921
"113" "WALKING" 23 -0.0787731101442669
"114" "WALKING" 24 -0.292610612713097
"115" "WALKING" 25 -0.36087237543868
"116" "WALKING" 26 -0.257996687371654
"117" "WALKING" 27 -0.249776909612591
"118" "WALKING" 28 -0.265610418056733
"119" "WALKING" 29 -0.208298430368722
"120" "WALKING" 30 -0.233556157269519
"121" "WALKING_DOWNSTAIRS" 1 -0.116846340832627
"122" "WALKING_DOWNSTAIRS" 2 -0.0882110912337927
"123" "WALKING_DOWNSTAIRS" 3 -0.196285803641219
"124" "WALKING_DOWNSTAIRS" 4 -0.224648329354634
"125" "WALKING_DOWNSTAIRS" 5 -0.135266968708224
"126" "WALKING_DOWNSTAIRS" 6 -0.00774754007260368
"127" "WALKING_DOWNSTAIRS" 7 -0.144454981851541
"128" "WALKING_DOWNSTAIRS" 8 -0.00350851770489596
"129" "WALKING_DOWNSTAIRS" 9 -0.152590901085107
"130" "WALKING_DOWNSTAIRS" 10 -0.0928998408636873
"131" "WALKING_DOWNSTAIRS" 11 -0.202536620199863
"132" "WALKING_DOWNSTAIRS" 12 -0.14589225788813
"133" "WALKING_DOWNSTAIRS" 13 -0.146175018785925
"134" "WALKING_DOWNSTAIRS" 14 -0.0153892333474884
"135" "WALKING_DOWNSTAIRS" 15 -0.113093071016658
"136" "WALKING_DOWNSTAIRS" 16 -0.1925331420983
"137" "WALKING_DOWNSTAIRS" 17 -0.219408130633721
"138" "WALKING_DOWNSTAIRS" 18 -0.325757187345448
"139" "WALKING_DOWNSTAIRS" 19 0.120800080100552
"140" "WALKING_DOWNSTAIRS" 20 -0.0685970029487568
"141" "WALKING_DOWNSTAIRS" 21 -0.121272251258866
"142" "WALKING_DOWNSTAIRS" 22 -0.125317101550046
"143" "WALKING_DOWNSTAIRS" 23 -0.00632675657535315
"144" "WALKING_DOWNSTAIRS" 24 -0.2054786746024
"145" "WALKING_DOWNSTAIRS" 25 -0.317881021166441
"146" "WALKING_DOWNSTAIRS" 26 -0.166593783133544
"147" "WALKING_DOWNSTAIRS" 27 -0.150039730086021
"148" "WALKING_DOWNSTAIRS" 28 -0.12076166755164
"149" "WALKING_DOWNSTAIRS" 29 -0.161713430631038
"150" "WALKING_DOWNSTAIRS" 30 -0.207222290221097
"151" "WALKING_UPSTAIRS" 1 -0.285970876698561
"152" "WALKING_UPSTAIRS" 2 -0.224356790163652
"153" "WALKING_UPSTAIRS" 3 -0.308278803713542
"154" "WALKING_UPSTAIRS" 4 -0.301972557606331
"155" "WALKING_UPSTAIRS" 5 -0.219856620865299
"156" "WALKING_UPSTAIRS" 6 -0.174224811337182
"157" "WALKING_UPSTAIRS" 7 -0.314686913652232
"158" "WALKING_UPSTAIRS" 8 -0.136198336708412
"159" "WALKING_UPSTAIRS" 9 -0.314250806441595
"160" "WALKING_UPSTAIRS" 10 -0.196800269811456
"161" "WALKING_UPSTAIRS" 11 -0.339404928990101
"162" "WALKING_UPSTAIRS" 12 -0.303651031097862
"163" "WALKING_UPSTAIRS" 13 -0.291385465487387
"164" "WALKING_UPSTAIRS" 14 -0.130098851015241
"165" "WALKING_UPSTAIRS" 15 -0.269934095846126
"166" "WALKING_UPSTAIRS" 16 -0.337383685146858
"167" "WALKING_UPSTAIRS" 17 -0.272646244671
"168" "WALKING_UPSTAIRS" 18 -0.379073875202538
"169" "WALKING_UPSTAIRS" 19 -0.161083876745375
"170" "WALKING_UPSTAIRS" 20 -0.192275042698118
"171" "WALKING_UPSTAIRS" 21 -0.250418978688761
"172" "WALKING_UPSTAIRS" 22 -0.160601619327738
"173" "WALKING_UPSTAIRS" 23 -0.22627666212547
"174" "WALKING_UPSTAIRS" 24 -0.316125439887194
"175" "WALKING_UPSTAIRS" 25 -0.399653009063569
"176" "WALKING_UPSTAIRS" 26 -0.286932426467427
"177" "WALKING_UPSTAIRS" 27 -0.315331728720999
"178" "WALKING_UPSTAIRS" 28 -0.269987917872957
"179" "WALKING_UPSTAIRS" 29 -0.233926898784217
"180" "WALKING_UPSTAIRS" 30 -0.327990438010303
